0,0,F,0,0,2334
0,1,F,1,0,1029
0,2,M,0,0,689
0,3,M,7,0,536
0,4,M,0,0,448
0,5,F,2,0,728
0,6,F,0,0,640
0,7,F,5,0,464
0,8,F,0,0,496
0,9,M,4,0,611
0,10,M,0,0,757
0,11,M,5,0,920
0,12,M,0,0,496
0,13,F,7,0,576
0,14,F,0,0,536
0,15,M,4,0,511
0,16,M,0,0,1696
0,17,M,2,1,1008
0,18,M,0,0,1537
0,19,F,3,0,1007
1,0,S,0,0,5030
1,1,S,1,1,2816
1,2,S,0,0,1031
1,3,S,5,0,593
1,4,S,0,0,496
1,5,S,1,0,695
1,6,L,0,0,866
1,7,L,6,0,2071
1,8,S,0,2,1472
1,9,L,1,0,6240
1,10,L,0,0,992
1,11,L,4,0,544
1,12,S,0,0,1006
1,13,S,3,0,674
1,14,L,0,1,848
1,15,L,3,1,1319
1,16,S,0,1,2120
1,17,L,3,0,1089
1,18,L,0,0,712
1,19,S,2,1,1063
2,0,F,0,0,3118
2,1,L,0,0,1233
2,2,M,4,0,838
2,3,S,2,0,888
2,4,F,0,0,655
2,5,L,0,0,609
2,6,M,6,0,543
2,7,S,5,1,1273
2,8,F,0,0,624
2,9,S,0,0,776
2,10,F,4,0,2264
2,11,S,5,0,976
2,12,M,0,1,984
2,13,S,0,0,776
2,14,F,2,0,864
2,15,L,3,0,1280
2,16,F,0,0,472
2,17,S,0,0,832
2,18,M,5,0,1360
2,19,L,3,0,712
2,20,M,0,0,699
2,21,L,0,0,701
2,22,F,1,1,1072
2,23,L,3,0,1184
2,24,F,0,0,520
2,25,S,0,0,1064
2,26,M,7,0,1199
2,27,S,5,0,1336
2,28,M,0,0,1608
2,29,L,0,0,744
2,30,M,3,0,631
2,31,L,6,0,592
2,32,F,0,0,743
2,33,S,0,0,855
2,34,M,4,1,960
2,35,S,5,0,1103
2,36,F,0,0,903
2,37,L,0,1,999
2,38,F,3,1,1367
2,39,S,5,0,832
3,0,F,0,0,821
3,1,L,0,0,745
3,2,F,7,0,1247
3,3,S,6,0,696
3,4,M,0,0,480
3,5,S,0,1,1480
3,6,M,2,0,703
3,7,S,2,1,1553
3,8,M,0,0,688
3,9,S,0,1,984
3,10,F,2,0,600
3,11,L,3,0,684
3,12,M,0,0,748
3,13,S,0,1,2120
3,14,M,5,0,720
3,15,S,3,0,648
3,16,M,0,0,480
3,17,L,0,0,1796
3,18,M,7,0,1932
3,19,L,6,0,752
3,20,F,0,2,1352
3,21,S,0,0,1271
3,22,F,3,0,543
3,23,S,2,0,711
3,24,F,0,0,720
3,25,S,0,0,696
3,26,M,7,1,936
3,27,S,1,0,872
3,28,F,0,1,856
3,29,L,0,0,736
3,30,F,6,0,592
3,31,S,5,1,864
3,32,F,0,0,688
3,33,S,0,0,872
3,34,M,6,0,1160
3,35,S,1,0,793
3,36,F,0,0,782
3,37,S,0,0,833
3,38,M,7,0,559
3,39,S,1,0,793
4,0,F,0,0,3303
4,1,F,3,0,672
4,2,M,0,1,1031
4,3,M,6,1,1449
4,4,F,0,0,1327
4,5,F,4,0,809
4,6,F,0,0,1086
4,7,M,1,0,585
4,8,F,0,0,505
4,9,M,2,0,768
4,10,F,0,0,504
4,11,M,7,0,1775
4,12,M,0,0,671
4,13,F,3,1,967
4,14,M,0,0,808
4,15,F,2,0,1016
4,16,M,0,0,647
4,17,M,2,0,704
4,18,M,0,0,455
4,19,M,1,0,400
5,0,M,0,0,1452
5,1,S,0,1,1575
5,2,M,3,0,1480
5,3,L,1,0,799
5,4,M,0,0,2208
5,5,L,0,1,1386
5,6,F,1,1,5141
5,7,S,4,0,921
5,8,F,0,0,1568
5,9,L,0,0,608
5,10,F,2,0,775
5,11,L,3,0,536
5,12,M,0,0,729
5,13,S,0,1,1808
5,14,M,3,1,5319
5,15,L,6,1,1216
5,16,M,0,0,552
5,17,L,0,1,959
5,18,M,4,0,432
5,19,S,2,0,719
5,20,M,0,0,792
5,21,L,0,0,2295
5,22,M,7,1,2096
5,23,S,3,1,1056
5,24,M,0,0,800
5,25,S,0,0,1672
5,26,F,6,0,872
5,27,L,2,1,1096
5,28,F,0,1,1084
5,29,S,0,1,659
5,30,M,7,1,888
5,31,L,4,1,672
5,32,F,0,0,296
5,33,S,0,1,424
5,34,M,4,0,96
5,35,S,2,0,129
5,36,F,0,1,215
5,37,L,0,0,72
5,38,M,4,1,248
5,39,S,6,0,104
6,0,F,0,0,2372
6,1,S,0,2,4488
6,2,M,5,0,520
6,3,S,3,0,384
6,4,M,0,0,816
6,5,S,0,1,1656
6,6,M,1,0,599
6,7,L,2,1,768
6,8,F,0,1,719
6,9,S,0,0,726
6,10,M,1,0,649
6,11,L,5,1,2136
6,12,F,0,0,663
6,13,S,0,1,1223
6,14,M,2,0,2480
6,15,S,1,1,1280
6,16,M,0,0,840
6,17,L,0,0,1160
6,18,M,1,0,567
6,19,L,1,0,688
6,20,F,0,0,672
6,21,S,0,0,1192
6,22,F,4,0,1160
6,23,L,4,1,1376
6,24,M,0,0,656
6,25,S,0,1,1064
6,26,M,1,0,376
6,27,L,6,1,728
6,28,M,0,1,791
6,29,S,0,1,1928
6,30,M,7,0,679
6,31,L,2,1,857
6,32,M,0,1,816
6,33,L,0,1,592
6,34,F,2,0,144
6,35,L,2,0,104
6,36,F,0,0,111
6,37,L,0,0,106
6,38,M,1,1,198
6,39,L,1,1,176
